Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
innova fence,1,1,70,25,4.31,https://innovafence.com/,56,23.52,241.00,0.32,1370000,"[1,1,8,10,8,1,8,1,1,8,1,1]",2026-04-23,"Knowledge panel, Sitelinks, Video, People also ask, Related searches",navigational,Organic
vinyl fence installation chicago,6,6,1300,21,0.00,https://innovafence.com/,31,13.02,0.00,0,127,"[4,5,29,13,13,100,22,43,36,29,43,29]",2026-04-11,"Local pack, Video, People also ask, Related searches",commercial,Organic
fence contractors chicago,8,8,880,47,9.73,https://innovafence.com/,16,6.72,155.00,0.03,0,"[10,55,62,62,45,24,55,62,62,100,45,36]",2026-03-11,"Local pack, Sitelinks, Video, Image, Related searches",commercial,Organic
composite fence chicago,7,7,720,5,0.00,https://innovafence.com/fences/composite-fence/,9,3.78,0.00,0,3440000,"[10,20,45,100,36,45,36,62,62,36,24,36]",2026-04-09,"Local pack, Sitelinks, Video, Image, Popular products, Related searches, AI overview",commercial,Organic
aluminum fence chicago,7,7,590,6,0.00,https://innovafence.com/,7,2.94,0.00,0.01,214,"[3,4,20,5,8,30,8,13,100,41,20,7]",2026-03-26,"Local pack, Video, Popular products, Related searches",commercial,Organic
aluminum fences chicago,6,6,390,24,0.00,https://innovafence.com/fences/aluminum-fence/,7,2.94,0.00,0.01,1160000,"[3,7,44,19,10,54,54,100,81,44,44,36]",2026-04-10,"Local pack, Sitelinks, Video, Popular products, Related searches",commercial,Organic
fence installation lincolnwood il,1,1,110,5,0.00,https://innovafence.com/,7,2.94,0.00,0,261000,"[4,14,4,4,14,14,100,80,52,80,100,100]",2026-04-20,"Local pack, Video, Image, Related searches",commercial,Local pack
aluminum fences barrington,2,2,50,0,0.00,https://innovafence.com/illinois-fence-company/barrington-illinois-fence-company/,6,2.52,0.00,0,0,"[4,0,4,4,4,4,33,100,33,33,33,23]",2026-03-12,"Local pack, Sitelinks, Video, Popular products, Related searches",commercial,Organic
chicago area fence companies,16,16,3600,47,9.73,https://innovafence.com/,5,2.1,48.00,0.03,11100,"[1,1,0,23,19,81,1,13,81,100,36,13]",2026-04-23,"Local pack, Sitelinks, Image, People also ask, Related searches",commercial,Organic
barrington il fencing contractor,2,2,40,0,0.00,https://innovafence.com/illinois-fence-company/barrington-illinois-fence-company/,5,2.1,0.00,0,0,"[28,0,14,14,14,28,100,100,100,100,71,71]",2026-03-12,"Local pack, Video, Image",commercial,Organic
commercial fencing chicago,11,11,880,32,0.00,https://innovafence.com/fences/commercial-fencing/,4,1.68,0.00,0,5080000,"[2,8,10,13,30,100,36,66,54,30,54,20]",2026-04-12,"Local pack, Video, Image, Related searches",commercial,Organic
chicago vinyl fence,17,16,2900,9,0.00,https://innovafence.com/,4,1.68,0.00,0,3060000,"[1,7,13,16,13,44,8,19,100,54,66,10]",2026-04-29,"Local pack, Sitelinks, Video, People also ask, Related searches, Discussions and forums",commercial,Organic
chicago chain link fence,7,7,260,13,0.00,https://innovafence.com/fences/chain-link-fence/,4,1.68,0.00,0.01,173,"[6,6,9,15,23,44,54,100,66,36,23,36]",2026-04-20,"Local pack, Video, Image, Popular products, Related searches",commercial,Organic
fence contractors chicago,13,13,880,47,9.73,https://innovafence.com/,3,1.26,29.00,0.03,0,"[10,55,62,62,45,24,55,62,62,100,45,36]",2026-03-11,"Local pack, Sitelinks, Video, Image, Related searches",commercial,Organic
wood fence installation barrington,4,4,50,2,6.45,https://innovafence.com/illinois-fence-company/barrington-illinois-fence-company/,3,1.26,19.00,0.09,1120000,"[9,9,9,18,27,18,63,100,81,63,63,63]",2026-04-18,"Local pack, Sitelinks, Video, Related searches",commercial,Organic
chain link fence chicago,10,10,390,27,0.00,https://innovafence.com/fences/chain-link-fence/,3,1.26,0.00,0.01,0,"[36,19,29,100,54,66,81,81,81,81,29,36]",2026-03-13,"Local pack, Sitelinks, Video, Related searches",commercial,Organic
fence replacement chicago,1,1,40,29,0.00,https://innovafence.com/,3,1.26,0.00,0,6690000,"[60,100]",2026-04-28,"Local pack, Sitelinks, Video, People also ask, Popular products, Related searches, Discussions and forums",commercial,Local pack
commercial fence chicago,10,10,480,26,0.00,https://innovafence.com/fences/commercial-fencing/,3,1.26,0.00,0,0,"[1,6,24,30,36,100,24,55,45,20,16,10]",2026-03-14,"Local pack, Sitelinks, Image, Related searches",commercial,Organic
fence removal chicago,1,1,40,8,0.00,https://innovafence.com/,3,1.26,0.00,0,123,"[14,14,14,28,42,28,100,100,100,71,71,57]",2026-03-13,"Local pack, Video, Video Carousel, Related searches",transactional,Local pack
vinyl fence installation highland park,5,5,90,0,0.00,https://innovafence.com/illinois-fence-company/highland-park-illinois-fence-company/,3,1.26,0.00,0,122,"[35,50,50,100,100,50,50]",2026-04-14,"Local pack, Sitelinks, Related searches, AI overview",commercial,Organic
custom fences barrington,2,2,50,2,0.00,https://innovafence.com/illinois-fence-company/barrington-illinois-fence-company/,3,1.26,0.00,0.33,998000,"[28,28,28,28,28,28,100,100,100,100,100,100]",2026-04-15,"Local pack, Video, AI overview",informational,Organic
fence installation chicagoland,6,6,140,47,11.74,https://innovafence.com/,3,1.26,35.00,0.03,0,"[3,3,1,5,8,3,35,54,100,23,18,15]",2026-03-08,"Local pack, Video, Related searches",commercial,Organic
commercial fence installations chicago,2,2,90,43,0.00,https://innovafence.com/,3,1.26,0.00,0,5600000,"[5,5,29,29,52,82,82,100,100,64,17,23]",2026-04-27,"Local pack, Sitelinks, Video, Related searches",commercial,Local pack
aluminum fencing barrington,2,2,40,0,0.00,https://innovafence.com/illinois-fence-company/barrington-illinois-fence-company/,3,1.26,0.00,0.33,495000,"[14,14,28,28,14,14,100,100,100,100,100,71]",2026-04-27,"Local pack, Video, Popular products",commercial,Organic
vinyl fence installation barrington,2,2,40,0,0.00,https://innovafence.com/illinois-fence-company/barrington-illinois-fence-company/,3,1.26,0.00,0,364000,"[14,14,28,14,28,14,100,100,100,100,100,100]",2026-03-21,"Local pack, Video, Related searches, AI overview",commercial,Organic
commercial aluminum fences chicago,3,3,70,1,0.00,https://innovafence.com/fences/commercial-fencing/,2,0.84,0.00,0.33,2070000,"[14,19,66,33,52,33,100,9,19,23,9,4]",2026-04-14,"Local pack, Video, Related searches",commercial,Organic
fence company northbrook,6,6,90,37,0.00,https://innovafence.com/illinois-fence-company/northbrook-illinois-fence-company/,2,0.84,0.00,0.33,129,"[9,9,9,9,9,9,52,9,52,80,100,100]",2026-03-25,"Local pack, Sitelinks, Image, Related searches",commercial,Organic
commercial fence company chicago il,13,13,720,34,0.00,https://innovafence.com/fences/commercial-fencing/,2,0.84,0.00,0,4420000,"[0,3,25,11,7,25,37,100,68,52,46,25]",2026-04-13,"Local pack, Sitelinks, Video, Image, Related searches",commercial,Organic
fences chicago area,21,21,1600,53,7.50,https://innovafence.com/,2,0.84,15.00,0.06,137,"[1,3,3,7,13,54,1,5,100,81,28,1]",2026-03-18,"Local pack, Sitelinks, Video, Related searches, AI overview","commercial, informational",Organic
chicagoland fence,22,22,1600,47,7.50,https://innovafence.com/,2,0.84,15.00,0.06,0,"[1,1,3,7,13,54,2,5,100,81,28,13]",2026-03-19,"Local pack, Sitelinks, Video, Related searches",commercial,Organic
commercial fence installation chicago,13,13,880,16,0.00,https://innovafence.com/fences/commercial-fencing/,2,0.84,0.00,0,0,"[0,0,1,1,3,10,8,100,28,7,8,5]",2026-03-13,"Local pack, Sitelinks, Video, Related searches, AI overview",informational,Organic
chain link fence northbrook,5,5,90,11,0.00,https://innovafence.com/illinois-fence-company/northbrook-illinois-fence-company/,2,0.84,0.00,0,584000,"[7,3,3,3,7,0,34,11,65,80,100,80]",2026-04-08,"Local pack, Popular products, Related searches",commercial,Organic
commercial fence installation in chicago,8,8,110,26,0.00,https://innovafence.com/fences/commercial-fencing/,2,0.84,0.00,0,17700000,"[14,9,33,23,42,80,66,80,100,42,23,33]",2026-03-31,"Local pack, Video, Image, Related searches",informational,Organic
composite fences chicago,9,9,320,4,0.00,https://innovafence.com/fences/composite-fence/,2,0.84,0.00,0,0,"[6,11,35,44,23,15,54,100,100,81,66,54]",2026-03-15,"Local pack, Sitelinks, Video, Popular products, Related searches",commercial,Organic
wood fence chicago,17,17,1000,44,0.00,https://innovafence.com/fences/wood-fence/,1,0.42,0.00,0,17800000,"[13,5,7,36,20,54,100,79,54,24,54,30]",2026-04-11,"Local pack, Video, People also ask, Popular products, Related searches",commercial,Organic
fence construction barrington,4,4,40,3,0.00,https://innovafence.com/illinois-fence-company/barrington-illinois-fence-company/,1,0.42,0.00,0.1,771000,"[28,28,28,28,42,28,100,100,100,71,100,100]",2026-04-15,"Local pack, Video, Image, Related searches, AI overview",informational,Organic
fence builders chicago,18,18,720,47,9.73,https://innovafence.com/,1,0.42,9.00,0.03,3430000,"[16,81,81,36,100,36,24,36,36,20,30,24]",2026-04-14,"Local pack, Video, People also ask, Related searches",commercial,Organic
gate installation chicago,8,8,210,20,0.00,https://innovafence.com/gates/,1,0.42,0.00,0.02,122,"[10,17,28,28,28,23,66,82,66,100,100,53]",2026-04-03,"Local pack, Sitelinks, Video, People also ask, Related searches",commercial,Organic
chain link fence chicago,11,11,390,27,0.00,https://innovafence.com/fences/chain-link-fence/,1,0.42,0.00,0.01,0,"[36,19,29,100,54,66,81,81,81,81,29,36]",2026-03-13,"Local pack, Sitelinks, Video, Related searches",commercial,Organic
fence contractor highland park,9,9,50,1,0.00,https://innovafence.com/illinois-fence-company/highland-park-illinois-fence-company/,1,0.42,0.00,0,2310000,"[11,23,29,64,52,23,100,29,23,5,5,0]",2026-04-20,"Knowledge panel, Video, Image, Related searches",commercial,Organic
wood fencing barrington,4,4,50,2,0.00,https://innovafence.com/illinois-fence-company/barrington-illinois-fence-company/,1,0.42,0.00,0.33,150,"[18,18,18,18,18,18,63,100,63,63,63,63]",2026-04-18,"Local pack, Video, Popular products, Related searches",commercial,Organic
vinyl fence installers chicago area,8,8,90,,0.00,https://innovafence.com/fences/vinyl-fence/,1,0.42,0.00,0,0,"[100,3,0]",2026-03-09,"Local pack, Video, Related searches, Ads middle",commercial,Organic
automatic gates chicago,11,11,480,4,0.00,https://innovafence.com/gates/,1,0.42,0.00,0,170,"[7,7,32,100,39,59,48,59,59,59,72,39]",2026-04-25,"Local pack, Sitelinks, Video, Popular products, Related searches, AI overview",commercial,Organic
fence installation highland park,5,5,40,2,0.00,https://innovafence.com/illinois-fence-company/highland-park-illinois-fence-company/,1,0.42,0.00,0,108,"[11,22,22,55,44,100,100,55,44,11,0,0]",2026-04-18,"Local pack, Video, Image, Related searches",commercial,Organic
chicago fence companies,5,5,320,46,9.73,https://innovafence.com/,1,0.42,9.00,0.03,38000000,"[7,10,19,19,23,36,36,67,54,44,44,36]",2026-04-28,"Local pack, Sitelinks, Video, Image, People also ask, Related searches, Discussions and forums",commercial,Organic
vinyl fence chicago,15,15,1300,37,0.00,https://innovafence.com/,1,0.42,0.00,0,3070000,"[5,30,36,36,54,79,54,100,66,36,54,30]",2026-04-07,"Local pack, Sitelinks, Video, Popular products, Related searches",commercial,Organic
best chain link fences in chicago,5,5,210,6,0.00,https://innovafence.com/fences/chain-link-fence/,1,0.42,0.00,0,112,"[2,22,66,66,29,66,54,100,81,29,14,18]",2026-04-20,"Local pack, Video, People also ask, Related searches, Discussions and forums, AI overview",commercial,Organic
fence company chicago,21,21,720,51,9.73,https://innovafence.com/,1,0.42,9.00,0.03,52500000,"[16,10,24,16,20,24,36,54,41,100,20,20]",2026-04-05,"Local pack, Video, Image, People also ask, Related searches",commercial,Organic
chicago fence company,17,17,720,52,9.73,https://innovafence.com/,1,0.42,9.00,0.03,134,"[16,16,76,36,45,67,67,100,76,45,45,36]",2026-03-30,"Local pack, Sitelinks, Video, Related searches",commercial,Organic
chicago commercial fencing,18,18,720,26,0.00,https://innovafence.com/fences/commercial-fencing/,1,0.42,0.00,0,6060000,"[1,6,6,6,20,100,45,100,100,81,100,30]",2026-03-27,"Local pack, Sitelinks, Video, Image, Related searches",commercial,Organic
commercial fence company chicago,12,12,590,46,19.19,https://innovafence.com/fences/commercial-fencing/,1,0.42,19.00,0.24,109,"[14,7,26,100,48,88,59,100,100,59,72,32]",2026-04-23,"Local pack, Sitelinks, Video, Image, Related searches, AI overview",informational,Organic
fence installation chicago,12,12,720,32,11.74,https://innovafence.com/,1,0.42,11.00,0.03,60400000,"[13,11,20,16,25,37,52,68,100,68,46,37]",2026-04-23,"Local pack, Sitelinks, Video, People also ask, Related searches, Discussions and forums",commercial,Organic
security fence installation companies chicago,11,11,210,41,0.00,https://innovafence.com/,1,0.42,0.00,0,0,"[100,0]",2026-03-06,"Local pack, Image, Related searches",commercial,Organic
picket fence installation chicago,8,8,110,43,0.00,https://innovafence.com/,1,0.42,0.00,0.33,0,"[15,11,19,19,19,15,53,65,53,80,100,80]",2026-03-06,"Local pack, Sitelinks, Related searches, AI overview",commercial,Organic
automatic security gates chicago,5,5,90,0,0.00,https://innovafence.com/gates/,1,0.42,0.00,0,43600000,"[5,17,41,29,52,82,100,100,82,41,23,29]",2026-04-17,"Local pack, Video, Popular products, Related searches, AI overview",commercial,Organic
chain link fence installation chicago,16,16,880,30,0.00,https://innovafence.com/,1,0.42,0.00,0,6910000,"[1,3,4,5,5,100,24,55,55,44,24,16]",2026-04-11,"Local pack, Sitelinks, Video, People also ask, Related searches",commercial,Organic
vinyl fence installation barrington,1,1,40,0,0.00,https://innovafence.com/illinois-fence-company/barrington-illinois-fence-company/,1,0.42,0.00,0,364000,"[14,14,28,14,28,14,100,100,100,100,100,100]",2026-03-21,"Local pack, Video, Related searches, AI overview",commercial,AI overview
commercial aluminum fences chicago,19,19,70,1,0.00,https://innovafence.com/fences/aluminum-fence/,0,0,0.00,0.33,2070000,"[14,19,66,33,52,33,100,9,19,23,9,4]",2026-04-14,"Local pack, Video, Related searches",commercial,Organic
commercial aluminum fences chicago,53,53,70,1,0.00,https://innovafence.com/,0,0,0.00,0.33,2070000,"[14,19,66,33,52,33,100,9,19,23,9,4]",2026-04-14,"Local pack, Video, Related searches",commercial,Organic
commercial fence skokie,84,84,50,0,0.00,https://innovafence.com/fences/commercial-fencing/,0,0,0.00,0,653000,"[0,4,14,100,14]",2026-04-22,"Local pack, Video, Image, Related searches, AI overview",commercial,Organic
chicago fence builders,15,15,110,30,0.00,https://innovafence.com/,0,0,0.00,0.13,4310000,"[7,7,7,7,19,15,65,80,53,80,80,100]",2026-04-27,"Local pack, Image pack, Sitelinks, Video, Image, People also ask, Related searches, Discussions and forums",commercial,Organic
automatic gates edgebrook,1,1,40,0,0.00,https://innovafence.com/gates/,0,0,0.00,0,30000,"[0,42,100,71,100,71,42]",2026-03-23,"Sitelinks, Video, Image, Popular products, Related searches, AI overview",informational,AI overview
automatic gates edgebrook,62,62,40,0,0.00,https://innovafence.com/gates/,0,0,0.00,0,30000,"[0,42,100,71,100,71,42]",2026-03-23,"Sitelinks, Video, Image, Popular products, Related searches, AI overview",informational,Organic
fence builder chicago,18,18,70,43,0.00,https://innovafence.com/,0,0,0.00,1,72,"[5,11,29,23,64,52,64,52,52,29,17,29]",2026-04-01,"Local pack, Image, People also ask, Related searches",commercial,Organic
fence builder chicago,21,21,70,43,0.00,https://innovafence.com/,0,0,0.00,1,72,"[5,11,29,23,64,52,64,52,52,29,17,29]",2026-04-01,"Local pack, Image, People also ask, Related searches",commercial,Organic
wood fence installation barrington,29,29,50,2,6.45,https://innovafence.com/,0,0,0.00,0.09,1120000,"[9,9,9,18,27,18,63,100,81,63,63,63]",2026-04-18,"Local pack, Sitelinks, Video, Related searches",commercial,Organic
fence company berwyn il,32,32,40,2,0.00,https://innovafence.com/,0,0,0.00,0,260000,"[0,0,0,0,0,0,0,0,50,78,100,100]",2026-04-28,"Local pack, Sitelinks, Image, People also ask, Related searches",commercial,Organic
fence company berwyn il,82,82,40,2,0.00,https://innovafence.com/,0,0,0.00,0,260000,"[0,0,0,0,0,0,0,0,50,78,100,100]",2026-04-28,"Local pack, Sitelinks, Image, People also ask, Related searches",commercial,Organic
wood fence chicago,37,37,1000,44,0.00,https://innovafence.com/,0,0,0.00,0,17800000,"[13,5,7,36,20,54,100,79,54,24,54,30]",2026-04-11,"Local pack, Video, People also ask, Popular products, Related searches",commercial,Organic
fence construction barrington,1,1,40,3,0.00,https://innovafence.com/illinois-fence-company/barrington-illinois-fence-company/,0,0,0.00,0.1,771000,"[28,28,28,28,42,28,100,100,100,71,100,100]",2026-04-15,"Local pack, Video, Image, Related searches, AI overview",informational,AI overview
aluminum fence company kenosha,87,87,70,8,0.00,https://innovafence.com/fences/aluminum-fence/,0,0,0.00,1,0,"[7,7,7,7,15,7,42,42,34,34,42,100]",2026-03-12,"Local pack, Sitelinks",commercial,Organic
fence specialist,66,66,260,44,4.96,https://innovafence.com/fences/,0,0,0.00,0.35,29100000,"[19,23,15,44,23,29,54,44,44,36,29,29]",2026-04-12,"Local pack, Sitelinks, Video, People also ask, Related searches",navigational,Organic
fence specialist,76,76,260,44,4.96,https://innovafence.com/fences/,0,0,0.00,0.35,29100000,"[19,23,15,44,23,29,54,44,44,36,29,29]",2026-04-12,"Local pack, Sitelinks, Video, People also ask, Related searches",navigational,Organic
highland fence,62,62,110,24,6.51,https://innovafence.com/illinois-fence-company/highland-park-illinois-fence-company/,0,0,0.00,0.36,11000000,"[21,21,34,34,34,43,43,28,34,34,28,15]",2026-04-16,"Knowledge panel, Image pack, Sitelinks, Video, People also ask, Popular products, Related searches","commercial, informational",Organic
wooden fence panels chicago,17,17,40,47,0.00,https://innovafence.com/fences/wood-fence/,0,0,0.00,0,0,"[0,14,42,42,57,100,100,100,57,57,28]",2026-03-12,"Local pack, Sitelinks, Popular products, Related searches",commercial,Organic
wooden fence panels chicago,44,44,40,47,0.00,https://innovafence.com/,0,0,0.00,0,0,"[0,14,42,42,57,100,100,100,57,57,28]",2026-03-12,"Local pack, Sitelinks, Popular products, Related searches",commercial,Organic
aluminum fences barrington,17,17,50,0,0.00,https://innovafence.com/fences/aluminum-fence/,0,0,0.00,0,0,"[4,0,4,4,4,4,33,100,33,33,33,23]",2026-03-12,"Local pack, Sitelinks, Video, Popular products, Related searches",commercial,Organic
fence company in chicago,16,16,260,50,9.73,https://innovafence.com/,0,0,0.00,0.03,106,"[6,5,8,8,11,44,54,100,81,66,81,44]",2026-04-25,"Local pack, Video, Related searches",commercial,Organic
commercial fencing chicago,29,29,880,32,0.00,https://innovafence.com/,0,0,0.00,0,5080000,"[2,8,10,13,30,100,36,66,54,30,54,20]",2026-04-12,"Local pack, Video, Image, Related searches",commercial,Organic
commercial fencing chicago,30,30,880,32,0.00,https://innovafence.com/,0,0,0.00,0,5080000,"[2,8,10,13,30,100,36,66,54,30,54,20]",2026-04-12,"Local pack, Video, Image, Related searches",commercial,Organic
fence builder northbrook,11,11,70,7,0.00,https://innovafence.com/illinois-fence-company/northbrook-illinois-fence-company/,0,0,0.00,0,110,"[4,4,9,4,0,0,23,4,52,80,100,100]",2026-04-15,"Local pack, Image, Related searches",commercial,Organic
fence builder northbrook,74,74,70,7,0.00,https://innovafence.com/,0,0,0.00,0,110,"[4,4,9,4,0,0,23,4,52,80,100,100]",2026-04-15,"Local pack, Image, Related searches",commercial,Organic
chain link fences chicago,16,16,110,6,0.00,https://innovafence.com/fences/chain-link-fence/,0,0,0.00,0.01,2050000,"[23,17,29,29,29,23,82,100,82,100,100,100]",2026-04-08,"Local pack, Video, Popular products, Related searches",commercial,Organic
chain link fences chicago,39,39,110,6,0.00,https://innovafence.com/,0,0,0.00,0.01,2050000,"[23,17,29,29,29,23,82,100,82,100,100,100]",2026-04-08,"Local pack, Video, Popular products, Related searches",commercial,Organic
chain link fences chicago,55,55,110,6,0.00,https://innovafence.com/fences/commercial-fencing/,0,0,0.00,0.01,2050000,"[23,17,29,29,29,23,82,100,82,100,100,100]",2026-04-08,"Local pack, Video, Popular products, Related searches",commercial,Organic
electric gates chicago,18,18,90,1,0.00,https://innovafence.com/gates/,0,0,0.00,0.33,188,"[0,0,0,0,9,19,66,80,42,80,100,80]",2026-03-25,"Local pack, Sitelinks, Video, Popular products, Related searches, AI overview",commercial,Organic
